contract_id,counterparty_id,contract_type,status,effective_date,term_months,auto_renew,renewal_notice_days,annual_value_usd,liability_cap_multiple,risk_score
NW-K-00000,NW-CP-0110,Vendor Terms,draft,2024-02-23,12,False,30,60000,2.0,82
NW-K-00001,NW-CP-0103,DPA,executed,2026-04-26,24,True,60,120000,3.0,37
NW-K-00002,NW-CP-0027,Reseller,in_negotiation,2025-10-19,36,False,30,480000,2.0,76
NW-K-00003,NW-CP-0082,SOW,executed,2024-11-08,12,True,60,120000,2.0,40
NW-K-00004,NW-CP-0033,Vendor Terms,executed,2026-05-10,24,True,90,60000,1.0,81
NW-K-00005,NW-CP-0051,Vendor Terms,in_negotiation,2024-03-06,12,False,60,120000,3.0,56
NW-K-00006,NW-CP-0049,Vendor Terms,draft,2026-01-07,12,True,90,60000,0.0,86
NW-K-00007,NW-CP-0100,Reseller,expired,2026-06-11,24,True,30,1200000,0.0,28
NW-K-00008,NW-CP-0037,MSA,executed,2024-09-07,12,False,60,1200000,1.0,33
NW-K-00009,NW-CP-0045,NDA,executed,2024-11-21,36,False,60,120000,2.0,79
NW-K-00010,NW-CP-0037,Reseller,expired,2025-08-02,12,False,90,480000,0.0,14
NW-K-00011,NW-CP-0060,NDA,executed,2026-06-24,36,True,60,24000,1.0,22
NW-K-00012,NW-CP-0025,DPA,executed,2026-01-02,36,True,90,60000,1.0,67
NW-K-00013,NW-CP-0042,Vendor Terms,expired,2024-12-01,12,True,60,60000,1.0,78
NW-K-00014,NW-CP-0097,NDA,executed,2023-12-17,12,False,90,250000,3.0,59
NW-K-00015,NW-CP-0061,Reseller,draft,2025-11-08,12,False,30,120000,0.0,29
NW-K-00016,NW-CP-0002,Vendor Terms,draft,2024-08-22,12,False,60,120000,1.0,18
NW-K-00017,NW-CP-0049,SOW,executed,2024-04-17,12,False,60,120000,3.0,71
NW-K-00018,NW-CP-0076,SOW,in_negotiation,2026-07-04,12,True,60,120000,1.0,26
NW-K-00019,NW-CP-0116,Reseller,draft,2024-07-15,12,True,30,480000,0.0,26
NW-K-00020,NW-CP-0015,DPA,executed,2023-09-29,36,False,60,480000,0.0,11
NW-K-00021,NW-CP-0076,MSA,executed,2026-05-13,12,True,30,250000,3.0,53
NW-K-00022,NW-CP-0015,SOW,in_negotiation,2026-07-27,12,True,90,1200000,1.0,43
NW-K-00023,NW-CP-0053,Vendor Terms,draft,2025-10-18,24,False,90,60000,3.0,18
NW-K-00024,NW-CP-0065,Vendor Terms,executed,2024-10-14,12,False,60,60000,0.0,30
NW-K-00025,NW-CP-0099,DPA,executed,2024-06-10,24,False,60,60000,1.0,75
NW-K-00026,NW-CP-0063,NDA,executed,2025-08-18,24,True,30,1200000,1.0,19
NW-K-00027,NW-CP-0106,SOW,executed,2024-03-21,12,False,30,1200000,1.0,37
